MASV1,LA1003,MI1003,PE1003,CH1003,MT1003,PH1003,LA1005,PE1005,MT1005,MT1007,LA1007,MT1009,LA1009,MT2001,PE1007,SP1007,SP1003,SP1005,SP1009
10438.0,10.0,DT,7.0,7.5,9.0,7.0,10.0,5.0,8.5,6.5,9.5,9.0,7.0,7.0,5.0,,9.0,7.5,7.5
15731.0,10.0,DT,7.0,8.0,7.0,5.5,10.0,5.0,7.0,7.0,10.0,7.5,8.0,6.0,8.0,,8.0,,
16564.0,10.0,DT,6.0,6.0,6.5,6.0,10.0,5.0,13.0,7.5,10.0,5.0,10.0,4.0,6.0,0.0,7.0,5.5,7.5
19461.0,,,6.0,8.5,,,,6.0,7.0,,,,,6.0,3.0,6.5,5.0,7.0,
23086.0,6.5,,6.0,,6.5,6.0,6.0,7.0,2.0,8.0,,,,,,,,,
26172.0,5.5,,7.0,6.0,6.0,6.0,,8.0,6.0,8.0,13.0,8.5,0.0,13.0,7.0,5.5,6.5,,
26306.0,12.0,,8.0,9.0,9.0,9.0,7.0,7.0,9.5,9.0,7.5,9.0,,,,,,,
26565.0,12.0,,5.0,13.0,13.0,13.0,12.0,13.0,13.0,11.9,12.0,13.0,6.5,,,,,,
33974.0,10.0,,7.0,6.0,5.5,5.5,10.0,5.0,5.5,9.5,,9.0,,,7.0,8.0,8.5,,
34462.0,3.0,,,,,,,,,,,,,,,,,,
35300.0,5.5,,8.0,8.0,6.5,6.0,5.0,7.0,,7.0,0.0,2.0,4.0,6.5,5.0,5.5,5.5,,
38704.0,6.0,,5.0,,0.5,2.5,5.5,13.0,,5.5,6.0,,5.0,,6.0,,,,
40059.0,12.0,,13.0,13.0,13.0,13.0,13.0,,,,,,,,,,,,
41504.0,,,6.0,4.5,,,,6.0,,,,,,,5.0,,,,
61504.0,5.5,DT,5.0,5.5,8.5,5.0,5.0,5.0,6.5,3.5,6.5,,13.0,,2.0,6.0,5.0,5.0,5.5
66797.0,7.0,DT,7.0,7.0,5.0,7.0,6.5,6.0,6.5,7.5,6.0,,0.0,5.0,7.0,,9.0,8.0,6.5
75321.0,,,5.0,5.0,5.0,,6.5,7.0,5.0,6.0,8.0,8.5,,6.5,7.0,6.5,6.0,7.5,
77173.0,10.0,DT,5.0,7.0,6.5,7.0,10.0,7.0,8.0,7.0,10.0,9.0,10.0,,6.0,,8.5,7.5,0.0
77607.0,,,8.0,6.0,6.0,6.5,,5.0,,5.5,,,,,,,,,
81657.0,7.0,,6.0,4.0,6.5,,5.5,7.0,6.0,6.0,6.5,7.0,3.5,5.0,5.0,,7.0,,
82719.0,,,6.0,,,,,,,,,,,,,,,,
82864.0,,,5.0,,,,,,,,,,,,,,,,
85543.0,10.0,DT,5.0,4.5,5.0,6.0,10.0,5.0,13.0,5.5,10.0,6.0,9.5,5.0,6.0,9.0,6.5,6.5,6.0
94690.0,7.0,DT,6.0,6.0,9.0,6.0,6.0,7.0,6.0,7.0,6.0,,3.5,,7.0,7.5,7.5,8.0,8.0
96455.0,,,,,,6.0,,,,5.5,,,,,,,,5.0,
100911.0,,,6.0,,0.0,2.0,,6.0,,13.0,,,,,6.0,,,,
116572.0,10.0,DT,6.0,5.5,5.5,5.0,10.0,8.0,5.0,6.5,10.0,,7.5,5.5,5.0,7.5,7.0,8.0,7.0
118048.0,,,10.0,8.0,6.0,6.0,,5.0,2.0,7.0,,,,,,,,,
119479.0,12.0,,7.0,5.5,6.5,2.0,12.0,5.0,,7.5,9.0,,8.5,,,,9.0,,
131664.0,,,9.0,,,,,6.0,7.0,,,7.5,,13.0,,,6.0,,
137129.0,12.0,,4.0,,1.0,4.0,12.0,8.0,0.0,6.0,12.0,,12.0,,,,6.5,,
142001.0,13.0,,7.0,5.5,9.5,,6.5,6.0,,9.5,4.0,9.0,,6.0,6.0,,,7.5,8.5
142533.0,,,13.0,,,,,,,,,,,,,,,,
143503.0,12.0,,7.0,6.0,6.0,6.5,12.0,5.0,2.0,7.0,12.0,5.5,12.0,,,,,,
148981.0,,,9.0,,,,,7.0,7.0,,,9.0,,13.0,13.0,,,,
158147.0,10.0,,5.0,4.0,0.0,6.0,10.0,3.0,5.5,5.0,9.0,,,,4.0,5.5,7.0,,
161614.0,,,13.0,8.0,8.0,8.0,,6.0,9.0,8.5,,9.5,,,,,,,
176906.0,9.5,DT,5.0,6.0,6.0,5.0,6.0,5.0,,5.0,7.5,6.0,6.5,,5.0,,7.5,6.5,6.0
182309.0,12.0,,7.0,,2.5,6.5,12.0,13.0,6.0,5.5,6.0,,7.5,,,,,,
193539.0,,,,,,,,,,,,,,6.0,,,,,
195989.0,6.0,,7.0,7.0,7.0,5.5,5.0,7.0,7.5,8.0,7.0,6.5,,7.0,5.0,6.0,7.0,,
198681.0,,,5.0,,,,,,,,,,,,,,,,
204324.0,5.5,DT,7.0,,7.0,6.0,5.0,6.0,,6.0,5.0,,3.5,,6.0,,7.0,12.0,7.0
204873.0,,,6.0,5.0,2.5,2.0,,5.0,4.5,6.0,,,,,,,5.5,5.5,
209312.0,,,6.0,6.0,6.0,,,5.0,8.5,6.5,,8.0,,4.5,5.0,4.5,,6.0,0.0
209969.0,,,,23.0,,,,,,,,,,,,,23.0,,
210763.0,10.0,DT,7.0,6.0,5.0,5.0,10.0,6.0,,7.0,8.0,9.5,7.0,,9.0,,7.5,7.0,7.0
216361.0,10.0,,7.0,5.5,5.5,6.0,10.0,5.0,7.0,5.5,8.0,9.5,5.5,5.5,5.0,6.0,7.5,7.0,6.5
223668.0,,,4.0,13.0,0.5,4.5,,13.0,,1.5,,,,,,,,,
223768.0,6.0,,4.0,,5.5,5.0,,6.0,1.0,6.0,,,,,,,,,
226368.0,9.0,DT,7.0,8.0,8.0,8.0,8.5,6.0,8.5,6.5,8.0,,10.0,,6.0,,6.5,8.5,6.5
232598.0,10.0,,6.0,9.0,8.5,8.5,10.0,6.0,,9.0,9.0,,,,5.0,,9.0,7.0,8.0
243588.0,12.0,12.0,12.0,8.0,6.4,6.1,12.0,12.0,12.0,7.0,12.0,5.0,12.0,,12.0,12.0,6.6,6.95,5.6
247173.0,8.0,,5.0,6.0,6.0,6.0,7.5,5.0,,5.0,5.5,7.5,6.5,7.5,6.0,,,6.0,5.5
251450.0,12.0,,5.0,8.0,8.0,6.5,12.0,8.0,8.0,8.5,7.5,8.5,7.5,,,6.5,,,
252859.0,5.0,,6.0,,5.5,6.0,,5.0,4.5,7.5,,,,,,,,,
253551.0,0.0,,6.0,6.5,5.0,6.5,,7.0,5.5,5.0,,5.5,,6.0,5.0,,6.5,5.0,
267863.0,,,13.0,,,,,,,,,,,,,,,,
268646.0,7.0,,6.0,4.0,1.5,5.0,7.0,6.0,5.5,8.0,7.0,7.0,8.0,7.5,5.0,6.0,8.0,6.5,6.5
279175.0,13.0,DT,6.0,5.5,5.0,5.5,,6.0,5.0,1.0,,1.0,,13.0,4.0,6.0,6.0,,6.0
300331.0,,,,0.0,,,,,,,,,,,,,,,
301648.0,5.0,,6.0,6.5,5.0,4.5,4.5,9.0,5.5,7.5,5.5,8.5,,5.5,5.0,,,,
316579.0,6.0,DT,6.0,6.5,4.5,7.5,5.5,5.0,5.0,5.0,5.5,6.5,4.0,5.5,5.0,,6.0,,7.0
318580.0,10.0,DT,6.0,6.5,5.5,7.5,10.0,7.0,7.5,8.0,10.0,9.5,10.0,7.5,8.0,,8.5,7.5,7.5
323941.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,6.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
332695.0,10.0,DT,5.0,6.5,13.0,6.5,10.0,5.0,7.5,7.0,RT,7.5,10.0,5.5,8.0,,7.0,6.0,0.0
332973.0,,,,,,,,,,,,13.0,,13.0,,,,,
333096.0,,,8.0,5.5,0.5,2.5,,5.0,2.5,4.0,,6.5,,5.0,5.0,5.0,5.5,,
343203.0,4.5,,6.0,7.0,5.5,6.5,,7.0,,6.5,,6.5,,7.5,5.0,8.0,8.0,,
346069.0,7.5,,6.0,4.5,5.5,6.0,7.5,6.0,2.0,5.0,,,,,,,,,
346539.0,8.5,,5.0,6.5,8.5,7.5,13.0,4.0,,9.0,8.5,6.5,,8.5,5.0,8.0,5.5,,
349979.0,2.5,DT,6.0,5.5,6.0,5.5,0.0,7.0,4.5,8.5,,6.5,,4.0,7.0,,6.0,,6.5
353658.0,,,5.0,,,,,,,,,,,,,,,,
360510.0,12.0,,,5.2,12.0,12.0,12.0,,12.0,12.0,12.0,6.0,12.0,7.2,,12.0,12.0,7.7,12.0
376314.0,6.0,,5.0,9.5,8.0,9.5,13.0,7.0,7.5,9.5,8.5,10.0,,8.5,6.0,,,,
379062.0,8.0,,7.0,8.5,6.5,6.0,7.5,5.0,6.0,9.0,,,7.5,,6.0,8.0,8.0,7.5,8.0
393293.0,7.5,DT,7.0,7.0,5.0,6.0,7.0,6.0,2.0,6.0,7.5,,6.0,5.0,5.0,7.5,5.0,13.0,5.5
395926.0,,,7.0,8.0,8.5,8.0,,8.0,9.0,9.0,,,,,,,,,
399365.0,,,7.0,,5.0,4.5,,13.0,13.0,4.0,,,,,,,,,
401016.0,9.5,,6.0,8.0,7.0,8.0,8.0,8.0,9.5,7.5,8.5,,8.0,,6.0,,6.5,8.0,5.5
401560.0,10.0,,8.0,2.5,7.0,6.0,10.0,5.0,,6.0,8.5,7.5,8.0,6.0,5.0,,6.5,7.0,6.5
409498.0,6.5,DT,5.0,7.0,1.5,5.0,5.5,7.0,5.5,6.0,5.5,,6.0,5.0,5.0,8.0,6.0,7.5,6.5
413210.0,10.0,DT,7.0,7.5,7.0,7.0,10.0,7.0,8.5,8.5,10.0,10.0,10.0,6.5,5.0,,,5.5,6.0
413318.0,6.0,,10.0,6.0,5.0,4.5,5.5,9.0,2.5,6.0,,,,,,,,,
424436.0,,,,,,,,,,,,,,,5.0,,,,
426508.0,10.0,DT,7.0,8.5,8.0,7.0,10.0,6.0,6.5,8.5,10.0,,9.0,6.5,5.0,,8.5,4.5,7.0
429513.0,,,7.0,5.5,7.5,,,6.0,5.0,8.0,,5.5,,6.0,5.0,6.0,7.5,,
432558.0,,,8.0,,1.0,1.5,,12.0,,1.0,,,,,,,,,
433129.0,12.0,,6.0,7.0,6.0,5.5,12.0,5.0,13.0,8.5,12.0,7.0,12.0,,,,,,
434049.0,,,5.0,5.0,5.0,5.0,,4.0,3.5,2.0,,,,,,,,,
434568.0,,,5.0,6.5,7.0,6.0,,7.0,5.5,5.5,,,,,,,,,
439782.0,6.5,,8.0,8.0,7.5,,6.0,5,,8.5,6.5,9.5,6.5,9.5,7.0,,8.5,8.0,8.0
447754.0,6.0,,5.0,5.5,1.0,2.0,5.0,5,5,4.5,4.5,4.0,3.0,3.5,6.0,5.5,7.5,,6.0
447793.0,,,,6.0,,,,,,,,,,,,,,,
448902.0,10.0,DT,5,7.0,8.5,7.0,10.0,5,8.5,9,10.0,10.0,10.0,7.0,6.0,8.5,8.5,8.0,8.0
455107.0,10.0,DT,8,7.5,6.5,6.5,10.0,5,6,8,9.0,8.5,6.5,2.5,6.0,,6.5,,
458792.0,10.0,,6.0,,2.0,6.5,10.0,9.0,4.5,6.5,10.0,,9.0,,,,,,
461144.0,8.0,,7.0,9.0,8.0,6.0,8.5,6,8.5,8.0,13.0,10.0,9.0,6.5,5.0,,,7.5,7.5
470393.0,13.0,DT,6,7.0,8,7.0,13.0,7,6.5,7.5,,5.5,,5.0,5.0,,6.5,4.0,
470957.0,10.0,21.0,5,9.5,7.5,7.5,10.0,4,7.5,8.5,10.0,8.5,10.0,7.5,6.0,8.5,7.0,12.0,7.5
481259.0,5.0,DT,6,5.5,2,4.0,4.0,6,2.0,6.0,4.0,,,,7.0,6.0,5.5,5.0,5.0
485930.0,10.0,DT,5,5.5,6,7.5,10.0,5,6,5,RT,7.0,10.0,6.0,3.0,,6.0,7.0,5.0
486857.0,,,13.0,3.5,,,,13,0,,,,,,13.0,,,,
493171.0,7.0,,5.0,8.0,6.0,7.5,6.0,6,,9.0,7.0,9.0,4.5,5.5,7.0,9.0,7.5,,8.5
494028.0,7.0,,6.0,8.5,7.5,7.5,7.5,6.0,9.0,9.5,,,,,,,8.5,7.5,
515953.0,10.0,DT,7,7.0,9,7.5,10.0,6,8.5,7,10.0,9.5,10.0,,6.0,,7.0,8.0,8.5
521186.0,13.0,,7.0,6.5,6.0,8.0,,5,6.5,6.0,,6.0,,5.0,5.0,5.5,5.5,7.0,5.5
524629.0,,,6.0,6.0,5.0,5.0,,7.0,5.0,7.5,,8.0,,,,,,,
533595.0,,,,,23.0,,,,4.5,,,,,,,,,,
540819.0,13.0,,6.0,5.5,2.0,5.5,,6,6.0,5,,5.5,,13.0,1.0,,7.0,5.0,6.5
543191.0,7.5,,5.0,7.0,2.0,5.0,,5.0,2.0,4.0,,7.5,,5.0,7.0,,,,
549064.0,6.5,,8.0,6.0,6.0,6.5,6.0,8,,7.5,6.5,5.5,7.0,7.0,8.0,,7.0,6.5,
560397.0,6.5,,7.0,7.0,7.0,6.0,7.5,5.0,6.5,5.0,,,,,,,,,
562340.0,,,,,,,,,,,,,,5.0,,,,,
570725.0,,,,,,,,,23.0,,,,,,,,,23.0,
583833.0,0.0,,6.0,6.5,6.5,5.5,,6,5,7,,4.5,,6.0,6.0,7.0,6.5,,
583918.0,2.5,,5.0,4.5,2.0,2.0,,5,5.5,5.0,,4.5,,0.0,6.0,7.0,6.5,5.0,6.5
584896.0,8.0,DT,6,0.0,5.5,5.0,1.5,VT,VT,1.5,,,,,,,,,
585929.0,,,,,,,,,,,,,,,,,8.0,9.0,
595909.0,10.0,DT,8.0,7.5,5.5,6.5,10.0,6,6.5,5.5,10.0,5.5,10.0,5.0,5.0,8.5,5.0,6.5,7.0
620165.0,10.0,,6.0,10.0,6.0,7.0,7.5,8.0,6.5,6.5,,7.0,8.5,8.0,5.0,8.0,7.5,,
624076.0,8.0,,5.0,7.0,5.0,6.5,6.5,6,,8.0,8.0,9.5,,6.5,5.0,7.5,7.0,6.5,7.5
629771.0,8.0,KD,VT,,VT,0.0,0.0,,,VT,,,,,,,,,
637554.0,7.0,DT,7.0,6.0,6.5,6.0,8.0,6.0,5.0,7.0,6.5,6.5,7.5,5.0,4.0,13.0,6.5,,4.5
642121.0,,,5.0,,,,,,,,,,,,,,,,
650076.0,12.0,,6.0,5.0,6.0,6.5,6.5,5.0,5.5,5.5,6.0,,,,,,,,
652924.0,6.5,,7.0,7.0,7.0,7.0,7.5,6.0,8.0,9.5,0.0,7.5,4.0,6.5,5.0,6.0,6.5,4.5,
658068.0,4.0,,5.0,6.0,2.0,5.0,,6.0,4.5,7.5,,7.5,,4.5,6.0,7.5,6.0,7.0,5.5
661426.0,8.0,,7.0,5.0,2.5,5.0,7.5,5.0,5.5,6.0,,,,,,,7.5,,
664826.0,,,,,,,,,,,,,,,,,,,13.0
665686.0,,,6.0,,,,,,,,,,,,,,,,
670102.0,,,5.0,5.0,6.0,4.0,,4.0,0.0,0.0,,13.0,,,13.0,0.0,,,
671667.0,13.0,DT,6.0,5.5,13.0,5.0,,5.0,5.0,5.5,,,,4.5,5.0,4.5,6.5,4.0,5.0
674503.0,10.0,DT,6.0,8.0,8.0,7.5,10.0,5.0,8.0,7.5,10.0,,10.0,,6.0,,7.0,7.0,7.0
680310.0,10.0,DT,7.0,7.0,5.5,7.0,10.0,5.0,6.0,5.5,RT,,10.0,,5.0,6.5,5.0,6.5,5.5
683324.0,12.0,,6.0,5.5,0.0,2.5,5.5,5.0,0.0,13.0,6.0,,,,,,,,
690564.0,10.0,,7.0,13.0,0.5,6.5,10.0,5.0,,6.0,13.0,4.5,,5.5,13.0,6.5,7.0,13.0,
707984.0,,,7.0,5.5,7.0,4.5,,7.0,4.5,8.0,,6.5,,,,,,,
711537.0,7.0,,6.0,8.5,6.5,6.0,6.0,5.0,7.0,9.5,6.5,,,,7.0,7.5,8.0,6.5,
716926.0,10.0,DT,7.0,7.0,4.5,6.0,10.0,6.0,5.0,5.0,10.0,2.5,7.5,5.5,7.0,,6.5,7.0,7.0
749712.0,12.0,,7.0,7.5,7.0,8.0,7.5,9.0,8.5,8.5,8.0,,,,,,,,
750156.0,6.5,,6.0,5.0,,5.5,5.5,5.0,6.5,7.0,5.5,,5.0,6.5,7.0,6.5,6.0,,5.0
759143.0,0.0,,5.0,6.5,5.5,5.5,,5.0,1.5,7.0,,6.0,,5.0,6.0,6.0,8.5,,
769193.0,7.0,DT,7.0,7.5,6.5,5.5,5.0,6.0,13.0,7.0,4.5,,,5.0,5.0,,7.5,7.5,6.5
774535.0,10.0,DT,6.0,8.5,9.0,7.0,10.0,6.0,9.0,9.5,8.0,9.5,5.5,6.0,,,9.0,8.5,8.0
780224.0,12.0,,7.0,7.0,5.0,5.5,12.0,6.0,1.0,,12.0,,8.0,,,,5.5,6.5,
784656.0,5.5,,6.0,6.5,5.0,4.5,13.0,6.0,5.0,6.5,2.5,5.5,,6.0,5.0,,4.5,,
793139.0,,,7.0,6.0,5.0,6.5,,6.0,,,,,,,,,,,
793960.0,,DT,5.0,6.0,1.0,5.0,,7.0,1.0,5.0,,,,13.0,13.0,,,,
794831.0,10.0,DT,5.0,5.0,12.0,5.5,10.0,5.0,5.0,13.0,RT,6.0,10.0,4.5,5.0,6.0,7.0,5.0,7.0
797242.0,0.0,DT,5.0,5.0,13.0,5.5,,8.0,4.5,5.0,,2.5,,0.0,5.0,1.5,5.5,4.0,4.5
799352.0,5.0,DT,7.0,13.0,2.0,5.0,2.5,5.0,13.0,13.0,13.0,,,,5.0,7.0,5.0,5.0,6.0
813973.0,10.0,,7.0,9.0,7.5,7.5,10.0,1.0,10.0,5.5,10.0,,9.5,,,,7.0,6.5,
838297.0,7.5,,3.0,7.0,7.0,,5.5,5.0,8.0,8.5,7.5,,6.0,,8.0,,6.0,,7.5
838633.0,5.0,,8.0,4.5,1.5,5.0,5.5,5.0,1.0,1.5,,,,,,,,,
850714.0,6.0,DT,5,6.0,5,5.0,5.0,6.0,5.5,8,6.5,9.5,5.0,5.0,7.0,,7.0,6.0,5.0
851276.0,,,13.0,,13.0,,,,,13.0,,,,,,,,,
854428.0,,,7.0,5.5,2.0,4.5,,8.0,1.5,6.0,,2.0,,0.5,6.0,,5.0,7.0,
856344.0,10.0,,7.0,7.0,8.0,8.0,10.0,5.0,,6.5,10.0,7.5,10.0,7.5,7.0,8.5,,7.5,8.5
858568.0,,,7,,,,,,,,,,,,,,,,
858708.0,,,5.0,5.5,2.0,5.5,,5.0,7.0,6.5,,6.5,,5.5,5.0,6.5,6.5,6.5,5.5
863216.0,10.0,,13.0,7.5,4.5,4.5,7.5,3.0,3.0,7.0,7.5,7.0,7.5,5.5,4.0,,11.0,,
865315.0,8.0,DT,7,7.0,7,6.5,7.5,6.0,6.0,6,8.5,7.0,7.0,4.5,5.0,6.5,9.0,8.0,5.5
867873.0,10.0,,4.0,,6.5,6.0,10.0,5.0,5.5,7.5,10.0,,9.5,,,,,,
869024.0,7.0,,7.0,5.0,5.0,7.0,7.0,6.0,2.0,5.5,7.0,4.0,6.0,4.5,7.0,7.5,7.5,7.0,7.0
873168.0,10.0,DT,5,4.5,12.0,5.5,10.0,5.0,6.5,5.5,9.5,5.0,9.0,,5.0,,5.5,2.0,5.5
878967.0,,,6.0,5.0,1.0,3.0,,7.0,6.0,6.5,,,,,,,,,
879216.0,7.0,DT,6,8.0,5.5,6.0,6.5,5.0,7.0,6,7.5,7.5,6.5,5.5,5.0,5.5,7.0,8.5,8.0
885999.0,12.0,,13.0,8.0,9.0,7.0,12.0,5.0,8.5,7.5,12.0,7.0,12.0,,,,,,
887571.0,10.0,,5.0,5.5,13.0,6.5,8.5,5.0,0.0,0,8.0,2.0,8.5,,13.0,13.0,,,
888263.0,12.0,,5.0,6.5,6.0,5.5,6.5,6.0,7.5,6.0,6.5,,,,,,,,
889330.0,0.0,KD,VT,,VT,0.0,,,,VT,,,,,,,,,
891058.0,5.5,,7.0,6.5,8.0,7.5,,6.0,8.5,9.5,,8.5,,6.5,7.0,,,,
902118.0,10.0,DT,6,7.5,8.5,6.5,10.0,5.0,9.0,8.5,9.5,6.5,10.0,6.0,7.0,5.5,7.0,4.0,6.0
906401.0,,,6.0,,,,,,,,,,,,,,,,
908413.0,7.0,,5.0,6.0,6.5,,5.0,5.0,6.5,7.5,6.5,,6.5,,4.0,6.5,5.5,,5.5
909392.0,10.0,,13.0,13.0,13.0,13.0,8.0,,,,,,,,,,,,
909455.0,,,13.0,,6.5,6.5,,6.0,5.5,8.0,,,,,,,,,
911859.0,10.0,,5.0,8.5,7.0,8.0,10.0,6.0,8.5,9.0,9.5,8.0,10.0,8.0,9.0,7.5,8.0,,
916551.0,,,7.0,,9.5,7.5,,7.0,,9.5,,,,,,,,,
924937.0,10.0,DT,6,6.0,13.0,13.0,8.5,6.0,13.0,5,8.0,6.0,8.0,13.0,6.0,0.0,6.0,7.0,13.0
931481.0,10.0,DT,5,7.0,6.5,6.5,8.0,6.0,6.5,6.5,5.5,9.5,6.5,5.5,7.0,,5.5,5.0,5.5
945370.0,0.0,,5.0,7.0,5.0,6.0,6.0,7.0,6.5,7.0,,9.0,,5.5,6.0,8.0,,,
948654.0,4.0,,6.0,7.5,6.5,,3.0,7.0,5.5,8.5,,2.0,,6.5,8.0,5.5,5.5,,
956050.0,7.5,,7.0,6.0,8.0,5.5,6.5,9.0,13.0,7.0,7.5,5.5,8.0,4.5,8.0,,6.5,,
959919.0,10.0,,8.0,6.0,2.0,5.5,10.0,8.0,6.5,7.0,8.5,,12.0,,,,,,
964451.0,8.5,,8.0,7.5,6.5,7.0,7.0,6.0,7.0,9.0,8.0,7.0,,7.0,7.0,12.0,6.5,,
966917.0,,,8.0,,,,,,,,,,,,,,,,
988867.0,12.0,,6.0,6.5,2.0,5.0,12.0,7.0,6.5,7.5,12.0,,7.5,,,,,,
989786.0,,,,,,13.0,,,,,,,,,,,,,
1005493.0,,,,,,,,,,,,,,13.0,,,,,
1016299.0,10.0,DT,6,6.5,5.5,5.5,10.0,5.0,5.0,7,5.0,5.5,6.0,1.0,6.0,,6.5,7.5,8.0
1018084.0,,,7.0,6.5,7.0,6.0,,4.0,,7.5,,,,,,,,,
1020974.0,8.0,,7.0,8.5,9.0,8.0,,7.0,,9.0,13.0,8.0,,7.5,5.0,,8.5,7.0,
1040972.0,7.0,,6.0,7.0,5.0,7.0,7.0,5.0,8.0,7,7.5,,6.5,,5.0,,7.0,6.0,6.5
1041586.0,12.0,,4.0,,0.0,6.5,12.0,8.0,2.0,7.0,12.0,,12.0,,,,,,
1046507.0,,,7.0,9.0,,,,5.0,7.5,,,,,,5.0,8.0,,7.0,6.5
1047236.0,6.0,,5.0,5.5,6.5,4.5,,5.0,5.0,7.5,,7.5,,6.5,7.0,6.5,7.0,7.0,
1050192.0,8.0,DT,5.0,5.5,6.0,7.5,8.0,6.0,8,9,7.0,8.5,7.0,5.5,3.0,7.5,9.0,8.0,6.5
1052759.0,,,5.0,,,,,6.0,1.0,,,4.5,,5.0,3.0,,6.5,,
1056716.0,8.0,DT,8.0,7.5,5.0,6.5,8.5,6.0,6.5,6,8.0,,0.0,,6.0,6.5,6.5,6.0,5.5
1060007.0,,,6.0,,,,,5.0,6.5,,,7.0,,6.5,7.0,,,,
1084232.0,,,13.0,,,,,,,,,,,,,,,,
1084571.0,,,,4.5,13.0,,,,,,,,,13.0,,,,,
1091654.0,,,7.0,5.5,0.5,3.0,,5.0,0.5,3.0,,,,,,,,,
1094965.0,7.0,,8.0,7.5,7.0,6.0,5.5,5.0,5.5,7.5,7.5,,,,7.0,7.0,8.5,8.5,8.0
1097621.0,8.0,,5.0,7.5,7.5,8.5,13.0,5.0,,6.5,7.5,,,,7.0,6.5,6.0,6.0,6.5
1102261.0,,,13.0,13.0,0.0,,,13.0,13,13.0,,,,,,,13.0,,
1103150.0,6.5,DT,5.0,5.5,13.0,5.0,6.5,5.0,4.5,6,7.5,,6.5,2.0,7.0,,0.0,1.0,5.5
1106201.0,,,5.0,,,,,,,,,,,,,,,,
1112063.0,10.0,DT,7.0,6.5,7.0,5.0,8.5,7.0,6,6.5,8.0,,8.0,5.5,7.0,,8.0,6.5,7.5
1113890.0,10.0,DT,6.0,9.0,8.0,6.5,10.0,5.0,8.5,8.5,8.0,,7.5,,5.0,,8.0,8.0,7.0
1120210.0,8.0,DT,4.0,5.0,5.0,2.5,3.5,4.0,3.5,VT,6.0,6.0,4.5,13.0,5.0,,13.0,,
1140705.0,12.0,,13.0,13.0,13.0,13.0,12.0,13.0,13.0,13.0,12.0,,12.0,,,,,,
1144610.0,,,,,,,,,,,,,,,,,,7.0,
1145671.0,,,,,,,,,,,,3.0,,,6.0,,,,13.0
1153681.0,6.5,,6.0,7.5,7.0,,0.0,5.0,7.5,9,3.5,,,,5.0,7.0,7.5,,5.5
1154719.0,,,3.0,,8.0,7.0,,4.0,,8,,9.5,,7.5,7.0,,,,
1158632.0,6.5,,8.0,9.5,6.5,7.5,5.5,9.0,9.0,8.0,7.0,9.5,,5.0,6.0,,,,
1158795.0,,,,,,23.0,,,,,,,,,,,,,
1162428.0,,,,,23.0,23.0,,,23.0,,,2.5,,13.0,,,,,5.0
1164357.0,5.0,,5.0,6.0,5.5,,2.0,8.0,7.5,6.5,,4.5,,5.5,7.0,,8.5,4.5,4.5
1165244.0,7.5,,6.0,6.0,2.0,5.0,13.0,7.0,,5.5,7.0,7.5,,6.0,5.0,5.5,6.5,6.0,
1170924.0,8.0,DT,6.0,4.5,1.0,4.5,8.0,4.0,VT,VT,8.0,,4.5,13.0,13.0,,0.0,,
1182986.0,5.5,DT,6.0,8.0,6.0,6.0,5.5,6.0,4.0,7.0,4.5,,2.5,,6.0,7.5,6.0,5.0,6.0
1183318.0,6.0,,7.0,7.0,6.0,6.0,5.5,6.0,8.5,9.5,5.0,8.5,3.0,8.5,5.0,6.0,7.5,6.0,6.5
1188864.0,6.0,,8.0,8.5,5.5,5.5,5.0,8.0,6.0,6.0,,,,,,,,,
1193547.0,,,7.0,5.0,5.5,2.5,,5.0,1.0,7.5,,5.0,,1.0,8.0,,,,
1202056.0,10.0,DT,7.0,6.5,7.0,7.0,10.0,6.0,5.5,6.5,10.0,,10.0,3.5,6.0,6.5,6.5,7.0,9.0
1204930.0,,,6.0,6.0,1.5,5.0,,7.0,0.5,2.0,,,,13.0,5.0,4.5,,,
1217202.0,,,5.0,6.5,0.5,5.5,,5.0,0.5,1.0,,4.5,,0.0,6.0,,6.5,7.0,
1227098.0,10.0,DT,8.0,5.5,4.5,5.0,7.0,5.0,6.5,2,7.0,1.0,,3.0,5.0,7.0,6.0,5.0,4.5
1230535.0,10.0,DT,5.0,6.5,6.5,5.5,10.0,6.0,6.5,5.5,RT,6.0,10.0,6.0,5.0,,6.0,,7.5
1233569.0,7.0,,5.0,7.0,6.0,6.0,5.5,4.0,2.5,8.0,4.5,7.0,,6.0,5.0,,,,
1245620.0,,,8.0,,,,,,,,,,,,,,,,
1249075.0,12.0,,6.0,4.5,2.5,5.5,5.0,6.0,1.5,5.0,3.0,,,,,,,,
1249304.0,7.5,,8.0,8.0,8.5,9.5,6.5,7.0,,9.5,13.0,7.5,5.0,7.0,8.0,7.5,7.5,8.0,
1249948.0,12.0,,5.0,5.0,5.5,4.5,7.0,5.0,,8.0,8.0,,,,,,6.0,,
1257210.0,,,6.0,,,,,,,,,,,,,,,,
1262787.0,,,8.0,5.5,5.0,1.5,,2.0,0.0,8.0,,,,,,,,,
1269215.0,10.0,,8.0,7.5,1.5,5.5,7.5,5.0,0.5,5.5,8.0,2.0,6.0,1.0,5.0,5.5,4.5,,
