MASV1,LA1003,MI1003,PE1003,CH1003,MT1003,PH1003,LA1005,PE1005,MT1005,MT1007,LA1007,MT1009,LA1009,MT2001,PE1007,SP1007,SP1003,SP1005,SP1009
60008134.0,5.5,,6.0,6.5,2.0,6.5,6.0,5,8.0,6.5,0.0,,3.5,,4.0,6.0,6.0,6.5,4.5
60015288.0,,,,,,,,,,,,,,,,,23.0,,13.0
60018335.0,10.0,,8.0,2.5,5.0,7.0,10.0,6.0,5.5,7.5,,,,5.0,5.0,,,,
60025655.0,5.0,,3.0,4.5,0.0,5.0,4.5,8.0,13.0,5.5,0.0,2.0,,0.0,5.0,5.5,5.0,6.0,
60030859.0,12.0,,5.0,,7.0,6.0,12.0,8.0,5.0,8.0,12.0,,7.0,,,,,,
60043255.0,2.5,,,,,,,,,,2.0,,,,,,,,
60044123.0,13.0,DT,7.0,6.5,5.0,6.5,,5.0,5.0,6.0,,7.5,,5.5,5.0,,8.0,8.0,8.0
60044544.0,,,2.0,13.0,0.5,4.5,,5.0,13.0,1.0,,,,,,,,,
60052809.0,6.0,DT,7.0,5.5,1.0,5.0,,6.0,1.0,5.0,,2.5,,4.0,8.0,5.0,12.0,12.0,5.5
60061238.0,2.5,,5.0,6.0,2.5,5.5,,6.0,4.5,13.0,,2.0,,,,,,,
60068247.0,6.5,,6.0,6.5,6.5,8.0,8.0,6.0,1.5,7.0,8.5,8.0,5.0,6.5,4.0,,,,
60070616.0,10.0,DT,6.0,8.5,9.5,8.0,10.0,5.0,6.5,7.0,RT,9.0,10.0,8.5,7.0,,9.0,,7.0
60084192.0,12.0,,6.0,,7.0,6.0,7.0,6.0,2.0,8.0,8.0,,,,,,,,
60085559.0,0.0,DT,6.0,6.0,5.0,5.5,,6.0,5.0,6.0,,6.5,,13.0,6.0,,6.5,6.0,
60088699.0,10.0,,6.0,8.0,8.5,8.0,10.0,5.0,,9.0,13.0,8.5,,6.5,5.0,8.0,8.0,7.0,
60088978.0,,,5.0,6.5,5.0,4.5,,5.0,4.5,6.0,,,,,,,,,
60099895.0,3.0,,5.0,5.5,5.0,5.0,,5.0,0.0,8.0,,5.5,,1.5,5.0,,6.0,,
60110170.0,7.0,,5.0,6.5,6.5,6.0,,6.0,,7.5,7.0,6.0,6.5,6.0,9.0,7.5,6.0,7.0,7.0
60141585.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,2.0,12.0,12.0,,12.0,5.5,
60148244.0,,,5.0,,,,,,,,,,,,,,,,
60171393.0,,,5.0,6.5,1.5,3.0,,5.0,5.5,7.0,,,,,,,,,
60171745.0,3.5,,5.0,6.5,5.0,6.0,,8.0,8.0,7.0,,8.0,,5.0,7.0,,7.0,7.5,8.0
60179771.0,10.0,DT,5.0,5.0,6.5,4.5,10.0,7.0,8.0,5.0,7.5,,5.0,5.0,5.0,,7.5,,6.0
60180412.0,7.0,DT,6.0,8.5,7.5,7.0,7.0,5.0,8.0,7.0,7.5,9.5,13.0,5.0,5.0,7.0,8.0,8.0,8.0
60184835.0,,,13.0,,13.0,13.0,,13.0,13.0,13.0,,,,,,,,,
60198460.0,2.0,,5.0,6.0,6.5,5.0,,5.0,5.0,7.5,,4.0,,13.0,8.0,,6.0,,
60200880.0,2.5,,6.0,5.0,7.0,7.0,,7.0,6.0,9.0,,2.0,,5.5,6.0,,6.5,6.5,6.5
60202738.0,5.5,,6.0,4.5,4.0,,2.5,7.0,2.5,6.5,,2.0,,,13.0,6.0,,,
60202894.0,,,,,,,,,,,,,,,,,,,13.0
60206514.0,10.0,DT,5.0,6.5,6.5,4.5,8.5,7.0,5.5,8.0,6.0,,6.5,4.5,6.0,,9.0,,7.5
60216092.0,6.0,,7.0,6.5,6.5,6.5,6.0,5.0,5.0,7.5,,,,,,,,,
